SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
S6P3-3,nat,ANW,S6,S6P3
S6P3-4,nat,ANW,S6,S6P3
S6P3-5,nat,ANW,S6,S6P3
S6P3-6,nat,ANW,S6,S6P3
S6P3-7,nat,ANW,S6,S6P3
S6P3-8,nat,ANW,S6,S6P3
S6P3-9,nat,ANW,S6,S6P3
S6P3-10,nat,ANW,S6,S6P3
S7P1-1,nat,ANW,S7,S7P1
S7P1-2,nat,ANW,S7,S7P1
S7P1-3,nat,ANW,S7,S7P1
S7P1-4,nat,ANW,S7,S7P1
S7P1-5,nat,ANW,S7,S7P1
S7P1-6,nat,ANW,S7,S7P1
S7P1-7,nat,ANW,S7,S7P1
S7P1-8,nat,ANW,S7,S7P1
S7P1-9,nat,ANW,S7,S7P1
S7P1-10,nat,ANW,S7,S7P1
S7P2-1,nat,ANW,S7,S7P2
S7P2-2,nat,ANW,S7,S7P2
S7P2-3,nat,ANW,S7,S7P2
S7P2-4,nat,ANW,S7,S7P2
S7P2-5,nat,ANW,S7,S7P2
S7P2-6,nat,ANW,S7,S7P2
S7P2-7,nat,ANW,S7,S7P2
S7P2-8,nat,ANW,S7,S7P2
S7P2-9,nat,ANW,S7,S7P2
S7P2-10,nat,ANW,S7,S7P2
S7P3-1,nat,ANW,S7,S7P3
S7P3-2,nat,ANW,S7,S7P3
S7P3-3,nat,ANW,S7,S7P3
S7P3-4,nat,ANW,S7,S7P3
S7P3-5,nat,ANW,S7,S7P3
S7P3-6,nat,ANW,S7,S7P3
S7P3-7,nat,ANW,S7,S7P3
S7P3-8,nat,ANW,S7,S7P3
S7P3-9,nat,ANW,S7,S7P3
S7P3-10,nat,ANW,S7,S7P3
S8P1-1,nat,ANO,S8,S8P1
S8P1-2,nat,ANO,S8,S8P1
S8P1-3,nat,ANO,S8,S8P1
S8P1-4,nat,ANO,S8,S8P1
S8P1-5,nat,ANO,S8,S8P1
S8P1-6,nat,ANO,S8,S8P1
S8P1-7,nat,ANO,S8,S8P1
S8P1-8,nat,ANO,S8,S8P1
S8P1-9,nat,ANO,S8,S8P1
S8P1-10,nat,ANO,S8,S8P1
S8P2-1,nat,ANO,S8,S8P2
S8P2-2,nat,ANO,S8,S8P2
S8P2-3,nat,ANO,S8,S8P2
S8P2-4,nat,ANO,S8,S8P2
S8P2-5,nat,ANO,S8,S8P2
S8P2-6,nat,ANO,S8,S8P2
S8P2-7,nat,ANO,S8,S8P2
S8P2-8,nat,ANO,S8,S8P2
S8P2-9,nat,ANO,S8,S8P2
S8P2-10,nat,ANO,S8,S8P2
S8P3-1,nat,ANO,S8,S8P3
